item_name,item_description,id
legal services,legal services and representation,0
unleaded gasoline,unleaded gasoline for cal fire camp,1
server,server,2
hose,hose,3
fitting splice tray series 1,fitting splice tray series 1,4
sonim xp 5560 bolt n c,sonim xp 5560 bolt n c,5
structure goggles,structure goggles,6
soft body armor,soft body armor,7
fuel for equip 26r027,fuel for equip 26r027,8
paint,100 gl tint base interior semigloss 200 gl paint latex interior eggshell white,9
jacket,jacket,10
setinplace,setinplace for manhattan mid back chair6825000259 ,11
lubricant,lubricant,12
R232,R232,13
hose,swan water premium,14
laptop foam case,pelican 1510c studio case w wheels divider setlid organizerblack 1510007110,15
notebook,notebook,16
aware nistpack workstation software license,aware nistpack workstation software license,17
digital copier printer scanner,highcapdhigh capacity feeder,18
fuel for equip 02s066,fuel for equip 02s066,19
water pumpair filter,water pumpair filter,20
ag jones dry cleaninginc,contractor shall provide the cleaning of draperiesvalencesandprivacy curtains hospital wide,21
accuchek control solution #05382289160,accuchek control solution #05382289160,22
debt collection services,contractor will provide debt collection services of cdesdelinquent accounts receivable the cde intends to place an estimatedamount of 100400 accounts with the contractor over a one yearperiodwith an average value of 50 000,23
universal grounding kit,universal grounding kit,24
copier maintenance,copier maintenance,25
hicap services,hicap services,26
1289334 a01h,amendment a01h funding adj revised 20132014 rates,27
cdph exercise training and facilitation,cdph exercise training and facilitation,28
gloves,disposable glovesnitrilexlblack50 pk,29
skid plate,skid plate,30
radiology equipment maintenance and repair services,contractor will provide radiology equipment maintenance and repairservices to the vhcyountville,31
office supplies,rubber bands,32
software and support renewal,software and support renewal,33
applecare,applecare protection plan for macbook pro,34
oracle abms software licesne update support,developer server 2617224 qty1402 45800 payables 1746553 qty8516 04600alert1746553 qty15 29500 govtpurchasing 1746553qty100,35
am2 napa fire alarm replacementdept of mental healthnapa state hospital,am2 napa fire alarm replacementdept of mental healthnapa state hospital,36
locker,locker,37
paper cups,paper cups,38
hp sw 1 prepay education training unit exchangeable for hp software education,hp sw 1 prepay education training unit exchangeable for hp software education,39
printing maintenance repair service,service for balancing fan on 4522 hantscho press in pressroom,40
binder clips 1,binder clips 1,41
perforator wheel30 tpi0030 depth and 0008 tieitem # 182853030008fo,perforator wheel30 tpi0030 depth and 0008 tieitem #182853030008for the drent froms pressattention greg ranindeliverby 4 19 13,42
handle heavy duty,handle heavy duty wet mop,43
order #13sofo1111dv,batching miscellaneous food contract vendors invoices for payment,44
theraputic recumbent bike,theraputic recumbent bike,45
fish,fish,46
equipment,miscellanous safety equimpment,47
remington razors,remington razor,48
misc for equip 10r202,misc for equip 10r202,49
5p8167 bolt,5p8167 bolt,50
carrier replacement,vest,51
network switch,c5 24pt sfp pts 2 sfp + 2 stk pts network switch,52
power supply pcb 10001224,power supply pcb 10001224,53
painting services,painting services,54
12 x 18 rip rap wall rock,12 x 18 rip rap wall rock,55
brownie mix,choc50lb,56
digital paper,digital paper,57
locksmith services,contractor will replacerewire and program dlse santa rosas securitydoor keypad,58
hp probook 6570b notebook pc,hp probook 6570b notebook pcmfg part no c5k94us#aba2nd gen intelcore i53360m 280gz processor156inch diagonal ledbacklit hdantiglare1366x768 2 gb 1600 mhz ddr3 sdram1d 320 gb 7200 satahard drivedvd+rw supermulti dl drivetouchpad,59
full size pickup4x2regular cabregular box ,43full size pickup4x2regular cabregular box360 horsepowergasoline fueled133 in wb8500 lbgvwrin accordance with specification 23102626 dated9 24 2013,60
flac 700 userdefined constitutive,flac 700 userdefined constitutive,61
irrigation systems,irrigation systems,62
office supplies,office supplies,63
aztek elite pulley system kit,aztek elite pulley system kit,64
toilet paper,toilet paper,65
moistener fingertp 2pk pk,moistener fingertp 2pk pk,66
medical supplies,medical supplies,67
sun fire v440sf v44021593ghz 4gb 473gb sn 0615bd1187,sun fire v440sf v44021593ghz 4gb 473gb sn 0615bd1187,68
misc for equip 04s262,misc for equip 04s262,69
pan,dimpled pan125 qts s,70
emulsion,emulsion,71
flu vaccine lot,flu vaccines and excise tax,72
phos phosphorus 480 tests,phos phosphorus 480 tests,73
R9,R9,74
glovesexam,smallvinyl,75
altiris it management suite 71 xplat per node renewal essential 12 months rewar,altiris it management suite 71 xplat per node renewal essential 12months rewards band d,76
cisco 3945 w spe 150,includes cisco ac power supply ac power cord cisco services performance engine ip base license for cisco cisco fonfig pro express on router flash 1gb ram 256mb compact flash for cisco cisco ios universal one port network module,77
soft foam cervical collar ,soft foam cervical collar ,78
samsung black drum,samsung black drum,79
lock nut,lock nut,80
plotter,plotter,81
shower unit,shower unit,82
3 phase motor,5 hp 3 phase motor208 460v3450 rpm184jm frame,83
hammer,hammer,84
twin extra long lockhart pillow top mattress,twin extra long lockart pillow top mattress,85
moving services,moving services,86
five year maintenance60 months35 taxable ,five year maintenance60 months35 taxable ,87
bluetooth,bluetooth,88
ca managed capacity build1tb w product and 3yr software support,ca managed capacity build1tb w product and 3yr software support,89
mxde16 additional 2x500 sheet paper tray4 total trays ,mxde16 additional 2x500 sheet paper tray4 total trays ,90
polish,furniture polish lemon,91
privacy filter,privacy filter,92
temp fencing,tempoary fencing for special events,93
western cooling efficiency center research,western cooling efficiency center research,94
sas enterprise licenses renewal,sas enterprise licenses renewal,95
hoagie rolls,hoagie rolls,96
kenwoodvhf mobile radio,kenwood mobile radiovhf1024channel110wdigital annalogremote mount,97
brother toner,brother toner,98
ink cartridge,toner cartriges,99
fuel for equip 26r057,fuel for equip 26r057,100
media accessories,media accessories,101
water tender,water trucks,102
tents,tents needed for going fire catgu 006768healthsafety,103
hp probook 6570b,hp probook 6570b,104
blood transfer device,blood transfer device e luer adp,105
miscellaneous food products,cottage cheeseyogurt,106
dental supplies,monitor welch allyn,107
bedside drain bag,bedside drain bag,108
disposable scapels,disposable scapelssani handsinsulin syringescavi wipesankle supports,109
software licensehelpdesk authentication module,software licensehelpdesk authentication module,110
oneyear renewal of janitorial services,amendment to exercise oneyear renewal option for janitorial services atfall river mills dmv field office,111
fuel for equip 04s286,fuel for equip 04s286,112
folder file 1 3c ltr ast,folder file 1 3c ltr ast,113
board of chiropractic mailing listcd ascii format ,board of chiropractic mailing listcd ascii format ,114
business forms,business forms,115
overview afp designer software,overview afp designer software,116
lab supplies,drugblood kits w 10ml gray tubes100 cs ,117
order #14ms0619jtadjusted,batching miscellaneous food contract vendor invoices for payment,118
fpt302442ldsnsflex technology tower30d x 24w x 42hleft swingsquare,fpt302442ldsnsflex technology tower30d x 24w x 42hleftswingsquareno lock,119
cabbage,cabbage whole,120
packing tape,packing tape,121
provance bar code license,bar code licensep n bcmlg,122
dvd cd,dvd for legal,123
courier service,small parcel delivery,124
develop a web training on quality improvement processes,develop a web training on quality improvement processes,125
flex whip,roof ftnitim stico 138900 mhz flex whip,126
opexomationmodel om306 north american,opexomationmodel om306 north american,127
arcgis for desktop basic single use secondary,arcgis for desktop basic single use secondary,128
contract,loan repayment,129
coverbun rack,coverbun rack52 x 80,130
catheters 12fr 16 30ea box# 412,catheters 12fr 16 30ea box# 412,131
tortillas,tortillas,132
pt303938macrolon sliceupper ,pt303938macrolon sliceupper ,133
cinnamon rolls,cinnamon rolls,134
cerealrolled oats,cerealrolled oats,135
envisioning informationisbn 9780961392116author edward r tuftehardcove,envisioning informationisbn 9780961392116author edward r tuftehardcover,136
subscription,subscription,137
drum charge,drum chargenontax ,138
3 4 x 4x8 oak plywood,3 4 x 4x8 oak plywood,139
filecrefill stampbk,filecrefill stampbk,140
restocking fee,restocking fee,141
ew,confidential,142
medical vocational training,medical vocational training,143
1210305,surveillance of tobacco retail advertising,144
pro400w400w power inverter,pro400w400w power inverter,145
fuel for equip 13r302,fuel for equip 13r302,146
bvnpt board meeting meeting room rental,bvnpt board meeting meeting room rental,147
misc for equip 02s353,misc for equip 02s353,148
