spend_category_id,spend_category
0,Industrial Manufacturing and Processing Machinery and Accessories
1,Editorial and Design and Graphic and Fine Art Services
2,Tools and General Machinery
3,Office Equipment and Accessories and Supplies
4,Industrial Cleaning Services
5,Structures and Building and Construction and Manufacturing Components and Supplies
6,Management and Business Professionals and Administrative Services
7,Public Utilities and Public Sector Related Services
8,Sports and Recreational Equipment and Supplies and Accessories
9,Industrial Production and Manufacturing Services
10,Distribution and Conditioning Systems and Equipment and Components
11,Politics and Civic Affairs Services
12,Land and Buildings and Structures and Thoroughfares
13,Live Plant and Animal Material and Accessories and Supplies
14,Drugs and Pharmaceutical Products
15,Power Generation and Distribution Machinery and Accessories
16,National Defense and Public Order and Security and Safety Services
17,Information Technology Broadcasting and Telecommunications
18,Food Beverage and Tobacco Products
19,Timepieces and Jewelry and Gemstone Products
20,Building and Construction Machinery and Accessories
21,Service Industry Machinery and Equipment and Supplies
22,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
23,Apparel and Luggage and Personal Care Products
24,Cleaning Equipment and Supplies
25,Personal and Domestic Services
26,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies
27,Building and Facility Construction and Maintenance Services
28,Mineral and Textile and Inedible Plant and Animal Materials
29,Engineering and Research and Technology Based Services
30,Mining and Well Drilling Machinery and Accessories
31,Healthcare Services
32,Furniture and Furnishings
33,Farming and Fishing and Forestry and Wildlife Contracting Services
34,Laboratory and Measuring and Observing and Testing Equipment
35,Published Products
36,Printing and Photographic and Audio and Visual Equipment and Supplies
37,Defense and Law Enforcement and Security and Safety Equipment and Supplies
38,Manufacturing Components and Supplies
39,Electronic Components and Supplies
40,Environmental Services
41,Paper Materials and Products
42,Education and Training Services
43,Farming and Fishing and Forestry and Wildlife Machinery and Accessories
44,Commercial and Military and Private Vehicles and their Accessories and Components
45,Travel and Food and Lodging and Entertainment Services
46,Chemicals including Bio Chemicals and Gas Materials
47,Domestic Appliances and Supplies and Consumer Electronic Products
48,Financial and Insurance Services
49,Organizations and Clubs
50,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
51,Electrical Systems and Lighting and Components and Accessories and Supplies
52,Mining and oil and gas services
53,Medical Equipment and Accessories and Supplies
54,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
55,Transportation and Storage and Mail Services
