supplier_id,item_id,num_txns,total_quantity,total_spend
0,285,1,1.0,6059.14
1,3400,1,6.0,36900.0
1,5321,1,1.0,62304.61
10,7851,1,5.0,12500.0
100,3762,1,2100.0,23709.0
1000,2684,1,1.0,2304.02
1000,649,1,1.0,1946.0
1001,133,1,20.0,46.8
1001,1988,1,750.0,8250.0
1001,731,1,1200.0,51900.0
1002,1012,1,1.0,50000.0
1002,1491,1,1.0,24000.0
1002,1843,1,1.0,22524.0
1002,2177,1,1.0,350000.0
1002,3282,1,1.0,49496.49
1002,3565,1,1.0,250000.0
1002,5239,1,1.0,60000.0
1002,5754,1,1.0,26354.28
1002,5931,1,1.0,294032.05
1003,3969,1,1.0,18784.48
1004,1895,1,1.0,12259.8
1004,7298,1,1.0,12734.8
1005,1251,1,1.0,13894.64
1005,5439,1,1.0,6000.0
1006,183,1,1.0,14820.0
1006,558,1,1.0,4446.0
1007,2312,1,1.0,268300.0
1008,2633,1,1.0,276250.0
1009,5206,1,1.0,246.0
101,605,1,1.0,2004132.0
1010,5940,1,1.0,9180.21
1011,6871,1,1000.0,80.0
1011,7842,1,1250.0,987.5
1012,1878,1,1.0,150000.0
1012,4656,1,3.0,493482.0
1013,6333,1,1.0,5613.34
1014,8493,1,1.0,2676.77
1015,5756,1,1.0,0.0
1016,7545,1,1.0,647500.0
1017,634,1,1.0,7077.0
1018,4534,1,1.0,4950.0
1019,1423,1,1.0,18705.0
1019,4962,1,1.0,62350.0
102,1033,1,2.0,143.58
102,1110,1,1.0,64.62
102,1114,1,192.0,3258.24
102,1187,1,19.0,4655.0
102,1226,1,2.0,244.48
102,1239,1,1.0,595.07
102,1271,1,1.0,2735.16
102,13,1,2.0,326.0
102,1326,1,5.0,742.5
102,1360,1,4.0,178.84
102,1372,1,4.0,430.56
102,1429,1,10.0,1022.1
102,1434,1,4.0,32.28
102,1446,1,20.0,3683.2
102,1484,1,1.0,1741.43
102,158,1,6.0,773.88
102,1591,1,2.0,961.6
102,1657,1,10.0,1841.6
102,1697,3,43.0,10431.7
102,1712,1,3.0,445.5
102,1756,2,11.0,1281.06
102,1912,1,1.0,180.18
102,1925,1,15.0,194.4
102,1966,1,6.0,513.18
102,2,1,1.0,180428.62
102,2011,1,5.0,597.55
102,2032,1,2.0,7138.3
102,2036,2,11.0,6565.48
102,2091,1,1.0,7421.3
102,2138,1,1.0,7187.4
102,215,20,70.0,150285.7
102,2167,1,4.0,509.32
102,2223,1,8.0,413.28
102,2315,1,52.0,199639.44
102,2435,1,3.0,256.59
102,2480,1,1.0,8655.71
102,2508,1,4.0,935.08
102,2570,1,10.0,1393.0
102,2584,1,3.0,274.8
102,2637,1,1.0,820.15
102,2670,1,5.0,84.75
102,2689,3,4.0,705.76
102,2717,1,10.0,1184.3
102,272,1,1.0,149654.64
102,2748,1,4.0,258.48
102,2809,1,10.0,1414.9
102,283,3,12.0,1006.01
102,295,1,5.0,84.75
102,2954,1,1.0,189.98
102,3007,1,5.0,606.65
102,313,1,16.0,18482.4
102,3136,1,1.0,198.69
102,3153,1,2.0,171.06
102,3163,1,10.0,1213.3
102,3165,1,5.0,1556.8
102,3169,2,16.0,3739.62
102,326,2,19.0,1246.03
102,3278,1,1.0,937.5
102,328,1,8.0,831.04
102,329,1,1.0,49.5
102,3406,1,16.0,4915.2
102,3477,1,1.0,48084.94
102,3592,1,2.0,490.0
102,3623,1,6.0,1188.42
102,366,1,1.0,319.2
102,3738,1,6.0,185.22
102,3765,1,2.0,48.28
102,3910,1,8.0,346.48
102,3952,1,1.0,1615.2
102,3958,1,4.0,1149.72
102,3983,1,60.0,3826.2
102,4080,1,1.0,3199.2
102,4084,1,4.0,938.68
102,4088,1,2.0,202.08
102,4231,1,7.0,128.24
102,4239,1,10.0,1213.3
102,4249,1,10.0,2332.1
102,4405,1,6.0,654.72
102,4460,1,4.0,366.4
102,4462,1,3.0,735.0
102,4469,1,2.0,118.08
102,4475,1,50.0,13231.0
102,4487,1,15.0,956.55
102,4493,1,7.0,3968.93
102,4601,2,4.0,138.08
102,4620,1,4.0,372.08
102,4730,1,1.0,1260.7
102,4749,1,1.0,3242.4
102,4751,1,1.0,27.2
102,477,1,1.0,128.98
102,4778,1,1.0,408.0
102,4869,1,1.0,1741.43
102,489,1,1.0,65.0
102,4913,1,1.0,11261.29
102,4931,1,6.0,1003.98
102,5064,1,1.0,1308.27
102,5081,1,10.0,527.9
102,5093,1,25.0,1148.0
102,517,1,77.0,192359.86
102,524,1,3.0,81.87
102,5355,1,10.0,1980.7
102,5365,1,4.0,366.4
102,5553,1,1.0,93.61
102,5633,1,4.0,557.2
102,5639,1,22.0,2562.12
102,5734,1,4.0,208.28
102,5758,1,6.0,262.14
102,5781,1,1.0,8578.44
102,5876,1,20.0,4296.6
102,6033,1,10.0,495.0
102,6080,1,20.0,2664.8
102,6212,1,20.0,3988.2
102,622,1,1.0,36833.58
102,6229,1,4.0,374.44
102,6232,1,28.0,4685.24
102,6241,1,6.0,1886.4
102,6283,1,1.0,81.92
102,6329,1,4.0,913.56
102,6367,1,5.0,815.0
102,6370,1,2.0,257.96
102,6438,1,3.0,43.89
102,6442,1,1.0,0.0
102,646,1,1.0,287.43
102,6493,1,1.0,57.75
102,6641,1,4.0,582.68
102,6685,1,4.0,374.44
102,6758,1,10.0,495.0
102,6776,1,4.0,375.44
102,6808,1,2.0,285.06
102,6879,1,3.0,644.49
102,6935,1,1.0,936.1
102,6966,1,5.0,635.3
102,7102,1,2.0,396.14
