id,creation_date,completed_date,status,total_price,quantity,requester_id,approver_id,send_back_reason_id,supplier_id,item_id,spend_category_id
12027CA,02/05/2013,02/15/2013,Approved,400000.0,1.0,3,0,,2723,0,14
2PA3P009,01/08/2014,01/11/2014,Approved,9574.38,1.0,3,4,,2206,1,16
3175622,04/21/2014,04/29/2014,Approved,5357.1,1.0,6,4,,2303,2,
13540059,04/22/2014,05/01/2014,Approved,25.8,1.0,5,4,,2978,3,10
4500207824,02/26/2014,03/02/2014,Approved,288.0,24.0,6,2,,1370,4,23
4500272221,03/06/2015,03/12/2015,Approved,1559.88,12.0,1,0,,2890,5,18
2PA3L119,06/24/2014,06/24/2014,Approved,1000.0,20.0,4,1,,2148,6,32
335H2004,01/16/2013,01/22/2013,Approved,9010.0,17.0,6,3,,252,7,32
4500217630,11/26/2014,12/10/2014,Approved,6.36,1.0,5,3,,1874,8,16
Y0001743,12/18/2014,12/21/2014,Approved,7795.0,1.0,4,0,,2554,9,41
12-G0490,06/24/2013,07/04/2013,Approved,129.7,2.0,1,3,,2690,10,39
REQ0011326,11/14/2013,11/28/2013,Approved,30.0,1.0,9,4,,357,11,38
30020-13,07/10/2013,07/11/2013,Approved,49976.8,1.0,8,4,,1755,12,16
SN353038,09/05/2013,09/08/2013,Sent Back,2566.95,15.0,2,0,0,327,13,19
4500163022,01/25/2013,02/06/2013,Approved,39.86,2.0,1,3,,1758,14,46
1796-2013,06/05/2014,06/07/2014,Sent Back,597.44,3.0,8,3,1,774,15,
041H4052,12/12/2014,12/13/2014,Approved,1450800.0,2000.0,2,0,,750,16,35
13-861-428,06/06/2014,06/08/2014,Sent Back,7350.0,6.0,5,1,2,1265,17,
X2300,05/23/2014,06/06/2014,Approved,3150.0,2.0,2,2,,2731,18,12
4500224873,06/26/2015,06/28/2015,Approved,47.7,1.0,3,2,,1874,19,16
23232,05/01/2014,05/02/2014,Approved,486.98,1.0,3,4,,62,20,5
15-30087,05/18/2015,05/27/2015,Approved,249999.99,1.0,5,2,,238,21,26
4500168722,02/04/2013,02/19/2013,Approved,119.5,2.0,1,4,,2915,22,0
CN140013,06/11/2014,06/15/2014,Approved,60000.0,1.0,9,2,,2324,23,37
8265,02/28/2013,03/30/2013,Approved,284.4,12.0,6,0,,1362,24,35
4500239220,06/18/2014,06/20/2014,Approved,7900.0,1.0,4,2,,1871,25,33
HI-1415-22,05/15/2014,05/15/2014,Approved,827414.0,1.0,8,1,,73,26,37
12-89334,05/22/2015,05/24/2015,Sent Back,44187000.0,1.0,6,1,3,1599,27,
12-10552,01/24/2014,01/26/2014,Approved,49942.0,1.0,0,2,,492,28,40
4500200288,09/23/2013,10/01/2013,Approved,944.0,40.0,2,2,,2503,29,4
PO13K086,04/29/2014,04/29/2014,Approved,141.0,1.0,2,3,,2424,30,10
14YS0080,11/25/2014,11/30/2014,Approved,4999.99,1.0,7,0,,1139,31,40
4500255681,10/20/2014,10/27/2014,Approved,182.89,1.0,0,3,,2927,32,12
041D4031,12/17/2014,12/17/2014,Approved,3436.14,1.0,8,0,,1413,33,33
DFT13028,03/26/2014,03/28/2014,Sent Back,2708.4,15.0,5,3,4,2585,34,
3173458,12/16/2013,12/17/2013,Approved,169991.0,1.0,9,1,,695,35,33
